Id_entrevista,Preocupacion_principal_acerca_del_agua,Causas_principales,Consecuencias,Acciones_y_Actores_que_realizan_dichas_acciones,Actores
DF042215_GOB,"Inundaciones en zonas urbanas
Escasez de información sobre inundaciones
Mala calidad del drenaje
Cambio climático y lluvias intensas","Basura en drenajes
Falta de mantenimiento en drenajes
Crecimiento urbano descontrolado
Asentamientos en zonas vulnerables","Daños a la infraestructura
Afectaciones a la movilidad
Original
Confusión sobre riesgos hídricos","Cenapred: Elaboración de mapas de inundación
Protección Civil: Emisión de recomendaciones para prevención
SACMEX: Elaboración de mapas de inundación
Sedartu: Financiamiento de atlas de riesgos","Cenapred
Protección Civil
SACMEX
Sedartu"
DF042415_GOB,"Inundaciones en la ciudad
Escasez de agua
Calidad del agua
Enfermedades derivadas del agua","Infraestructura insuficiente
Cambio climático
Asentamientos irregulares
Falta de acceso a servicios","Enfermedades de la piel
Infecciones gastrointestinales
Original
Dificultades en la recuperación","Secretaría de Salud: Original
Protección Civil: Emisión de recomendaciones de salud
Ejército: Evacuación de población afectada
Salud: Emisión de recomendaciones para prevención","Secretaría de Salud
Protección Civil
Ejército
Salud"
DF111814_GOB,"Suministro de agua
Escasez en temporada seca
Demanda excesiva de agua
Contaminación del agua","Crecimiento de la población
Desigualdad en el acceso al agua
Falta de cultura del agua
Crecimiento urbano desmedido","Escasez de agua en comunidades
Conflictos por agua
Afectaciones a la salud
Desarrollo urbano descontrolado","CORENA: Incentivo a la conservación del suelo
Sistema de Aguas: Manejo del suministro de agua
Secretaría de Medio Ambiente: Original
Comunidades: Mantenimiento de áreas de humedad","CORENA
Sistema de Aguas
Secretaría de Medio Ambiente
Comunidades"
I021415_OTR,"Abastecimiento de agua
Mala calidad del agua
Tandeo en la distribución
Corrupción en el manejo del agua","Asentamientos irregulares
Falta de mantenimiento en la red
Corrupción en la distribución
Falta de regulación en uso de agua","Afectaciones a la salud
Desperdicio de agua
Conflictos por agua
Dificultades en el transporte","Vecinos: Organización de marchas por agua
Organizaciones civiles: Defensa del derecho al agua
Delegaciones: Instalación de pozos de absorción
No especificado: Condonación de pagos de agua","Vecinos
Organizaciones civiles
Delegaciones
No especificado"
I032615_OTR,"Mala calidad del agua
Escasez de agua
Inundaciones en la ciudad
Hundimientos y grietas","Crecimiento de la población
Mala gestión del agua
Antigüedad de la red hidráulica
Crecimiento urbano descontrolado","Menor abastecimiento de agua
Mejor calidad de vida demeritada
Conflictos por suministro de agua
Grietas en viviendas","Protección Civil: Atención a problemas de grietas
Vecinos: Formación de comités de grietas
Gobierno del Distrito Federal: Instalación de plantas potabilizadoras
Organizaciones civiles: Original","Protección Civil
Vecinos
Gobierno del Distrito Federal
Organizaciones civiles"
I032615_OTR_1RA_PARTE,"Mala calidad del agua
Inundaciones en la zona
Fugas en la red
Escasez de agua potable","Infraestructura hidráulica obsoleta
Desperdicio de agua por fugas
Pavimentación excesiva
Falta de infiltración de agua","Grietas en viviendas
Afectaciones a la salud
Dependencia de pipas
Contaminación del agua","Vecinos: Construcción de cisternas de ferrocemento
Organizaciones civiles: Captación de agua de lluvia
Gobierno: Implementación de programas de infraestructura
CONAGUA: Manejo de pozos de extracción","Vecinos
Organizaciones civiles
Gobierno
CONAGUA"
MC031915_OTR,"Escasez de agua
Tandeo en el suministro
Fugas en la red
Calidad del agua","Crecimiento urbano descontrolado
Falta de mantenimiento en la red
Falta de mantenimiento
Expropiación de tierras","Dificultad para obtener agua
Compra de agua en pipas
Conflictos por agua
Desperdicio de agua","Delegaciones: Control del tandeo de agua
Sistema de Aguas: Original
Ejidatarios: Captación de agua de lluvia
Gobierno: Original","Delegaciones
Sistema de Aguas
Ejidatarios
Gobierno"
MC032415_GOB,"Escasez de agua
Fugas en la red
Mala calidad del agua
Inundaciones por basura","Falta de mantenimiento en la red
Deforestación y tala clandestina
Falta de reforestación
Basura en ríos y cauces","Desabasto de agua
Contaminación del agua
Inundaciones en viviendas
Conflictos por percepción de agua","Sistema de Aguas: Original
Delegaciones: Limpieza de cauces y ríos
Comunidades: Original
No especificado: Monitoreo de calidad del agua","Sistema de Aguas
Delegaciones
Comunidades
No especificado"
MC032515_GOB,"Deslizamientos de talud
Inundaciones en asentamientos
Contaminación del agua
Cortes en cerros","Asentamientos irregulares
Corte de árboles
Construcción desmedida
Mala canalización de agua","Daños a la vivienda
Afectaciones a la salud
Desbordamientos de barrancas
Deterioro del suelo","Protección Civil: Notificación a vecinos en riesgo
Ecología: Original
Tenencia de la Tierra: Prevención del crecimiento de asentamientos
SACMEX: Limpieza de drenajes y coladeras","Protección Civil
Ecología
Tenencia de la Tierra
SACMEX"
X011915_GOB,"Contaminación de los canales
Inundaciones en la zona
Escasez de agua potable
Hundimiento de chinampas","Descargas de aguas residuales
Falta de infraestructura de drenaje
Asentamientos irregulares
Corrupción en la gestión","Daños a la salud
Alteración del medio ambiente
Conflictos sociales por agua
Contaminación del agua","Sistemas de Aguas de la Ciudad de México: Monitoreo de calidad del agua
Gobierno del Distrito Federal: Implementación de programas de limpieza
SEDEREC: Financiamiento de proyectos de conservación
Vecinos: Original","Sistemas de Aguas de la Ciudad de México
Gobierno del Distrito Federal
SEDEREC
Vecinos"
X022415_ACA,"Escasez de agua
Contaminación de fuentes
Inundaciones en zonas urbanas
Acceso desigual al agua","Extracción de acuíferos
Asentamientos irregulares
Falta de regulación en uso de agua
Crecimiento urbano descontrolado","Deterioro de ríos
Conflictos por acceso al agua
Impacto en la salud pública
Desplazamiento de comunidades","SACMEX: Gestión del sistema de agua
Comisión de Cuenca: Original
Organizaciones civiles: Original
Gobierno del Distrito Federal: Implementación de políticas de agua","SACMEX
Comisión de Cuenca
Organizaciones civiles
Gobierno del Distrito Federal"
X022415_GOB,"Calidad del agua
Escasez de agua
Contaminación por invernaderos
Inundaciones en asentamientos irregulares","Fugas en la red
Asentamientos irregulares
Contaminación por agroquímicos
Hundimientos diferenciales","Daños a la salud
Original
Deterioro del ecosistema
Impacto negativo en turismo","Autoridad de la Zona Patrimonio: Coordinación con académicos
Productores: Implementación de tratamientos de agua
Instituto de Biología de la UNAM: Colaboración en proyectos de conservación
SACMEX: Manejo del suministro de agua","Autoridad de la Zona Patrimonio
Productores
Instituto de Biología de la UNAM
SACMEX"
X042315_GOB,"Escasez de agua
Inundaciones en la zona
Contaminación del agua
Hundimientos diferenciales","Explotación de acuíferos
Asentamientos irregulares
Fugas en la red
Falta de mantenimiento en coladeras","Daños a la salud
Conflictos entre vecinos
Costos por comprar agua
Alteración del medio ambiente","SEMARNAT: Original
Autoridades locales: Implementación de programas de conservación
Chinamperos: Mantenimiento de la producción agrícola
Gobierno francés: Financiamiento de proyectos de infraestructura","SEMARNAT
Autoridades locales
Chinamperos
Gobierno francés"
